NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Study Type,Locations
NCT00726505,Renal Mechanism of Action/Splay vs. TmG,https://clinicaltrials.gov/study/NCT00726505,TERMINATED,"Diabetes, NOS",DRUG: Dapagliflozin,AstraZeneca,Bristol-Myers Squibb,ALL,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"University Of Texas Health Center At San Antonio, San Antonio, Texas, 78229, United States"
NCT03731637,A Study to Establish a New Onset Hyperglycemia and Diabetes Cohort,https://clinicaltrials.gov/study/NCT03731637,TERMINATED,Diabetes|Type2 Diabetes|Diabetes Mellitus,,Fred Hutchinson Cancer Center,M.D. Anderson Cancer Center|National Cancer Institute (NCI)|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Alliance for Clinical Trials in Oncology,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Kaiser Permanente Southern California, Los Angeles, California, 90027, United States|Cedars Sinai Medical Center, Los Angeles, California, 90048, United States|Greater Los Angeles Veterans Affairs Medical Center, Los Angeles, California, 90073, United States|Kaiser Permanente Northern California, Oakland, California, 94612, United States|Stanford University Medical Center, Palo Alto, California, 94605, United States|University of Florida, Gainesville, Florida, 32608, United States|Advent Health Translational Research Institute, Orlando, Florida, 32804, United States|Carle Foundation Hospital, Urbana, Illinois, 61801, United States|Univeristy Hospital, Indiana University Health, Indianapolis, Indiana, 46202, United States|Ochsner Medical Center, New Orleans, Louisiana, 70121, United States|Henry Ford Health System, Detroit, Michigan, 48202, United States|Trinity Health Ann Arbor Hospital, Ypsilanti, Michigan, 48197, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, 43210, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15213, United States|Gibbs Cancer Center & Research Institute, Spartanburg, South Carolina, 29303, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|Marshfield Clinic Health System, Marshfield, Wisconsin, 54449, United States"
NCT04650945,"In-hospital Diabetes Management With Flash Glucose Monitoring (isCGM) - the INDIGO Study, Part A",https://clinicaltrials.gov/study/NCT04650945,TERMINATED,Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus|Diabetes Mellitus,OTHER: isCGM group,University of Aarhus,Aarhus University Hospital,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Aarhus university hospital, Aarhus, 8200, Denmark"
NCT04630925,"In-hospital Diabetes Management With Flash Glucose Monitoring (isCGM) - the INDIGO Study, Part B",https://clinicaltrials.gov/study/NCT04630925,TERMINATED,Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus|Diabetes Mellitus,OTHER: isCGM,University of Aarhus,Aarhus University Hospital,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Aarhus university hospital, Aarhus, 8200, Denmark"
NCT01172743,Collection of Blood for Gene Expression/Genomic Studies in Individuals With Diabetes (Qatar),https://clinicaltrials.gov/study/NCT01172743,TERMINATED,Diabetes Mellitus|Type 2 Diabetes Mellitus,,Weill Medical College of Cornell University,Weill Cornell Medical College in Qatar|Hamad Medical Corporation,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Hamad Medical Corporation, Doha, Qatar"
NCT00762190,Study of TAK-559 in Treating Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00762190,TERMINATED,Diabetes Mellitus,DRUG: TAK-559 and insulin|DRUG: Insulin,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
NCT02681185,Efficacy of a Virtual Care Clinic in the Management of Diabetes Mellitus,https://clinicaltrials.gov/study/NCT02681185,TERMINATED,Diabetes Mellitus,OTHER: Virtual Care|OTHER: Standard of Care,Endocrine Research Society,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Endocrine Research Society, Vancouver, British Columbia, V6J4Y3, Canada"
NCT00762112,Safety Study of TAK-559 in Treating Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00762112,TERMINATED,Diabetes Mellitus,DRUG: TAK-559,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
NCT02660476,Qatar Universal Diabetes Outcomes (QUDOS) Study,https://clinicaltrials.gov/study/NCT02660476,TERMINATED,Diabetes Mellitus|Type 2 Diabetes Mellitus,,Weill Cornell Medical College in Qatar,Hamad Medical Corporation,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Weill Cornell Medicine Qatar, Doha, Qatar"
NCT02040025,"Evaluating the Effects of EECP on Circulation, Blood Glucose Level and Blood Pressure in Type 2 Diabetes Mellitus",https://clinicaltrials.gov/study/NCT02040025,TERMINATED,Diabetes Mellitus,,David Grant U.S. Air Force Medical Center,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"David Grant USAF Medical Center, Travis Air Force Base, California, 94535, United States"
NCT00762684,Efficacy and Safety Study of TAK-559 in Treating Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00762684,TERMINATED,Diabetes Mellitus,DRUG: TAK-559|DRUG: Placebo,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
NCT05840250,Continuous Glucose Monitoring and Diabetes,https://clinicaltrials.gov/study/NCT05840250,TERMINATED,Diabetes,OTHER: Continuous Glucose Monitoring and Education Support,Hackensack Meridian Health,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Hackensack Univeristy Medical Center, Hackensack, New Jersey, 07601, United States"
NCT00762957,Safety and Efficacy of TAK-559 in Combination With Metformin in Patients With Type 2 Diabetes Mellitus.,https://clinicaltrials.gov/study/NCT00762957,TERMINATED,Diabetes Mellitus,DRUG: TAK-559 and metformin|DRUG: TAK-559 and metformin|DRUG: Metformin,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
NCT00759720,Efficacy and Safety of TAK-559 Combined With Glyburide in Treating Subjects With Type 2 Diabetes Mellitus.,https://clinicaltrials.gov/study/NCT00759720,TERMINATED,Diabetes Mellitus,DRUG: TAK-559 and glyburide|DRUG: TAK-559 and glyburide|DRUG: Glyburide,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
