nct_number,study_title,study_status,conditions,interventions,sex,age,phases,study_type,locations
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Aspirin,All,ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Aspirin,All,OLDER_ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Aspirin,All,ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Aspirin,All,OLDER_ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Chemotherapy,All,ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Chemotherapy,All,OLDER_ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Chemotherapy,All,ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Cancer,Drug: Chemotherapy,All,OLDER_ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Aspirin,All,ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Aspirin,All,OLDER_ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Aspirin,All,ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Aspirin,All,OLDER_ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Chemotherapy,All,ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Chemotherapy,All,OLDER_ADULT,Phase 2,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Chemotherapy,All,ADULT,Phase 3,Interventional,USA
NCT00000001,Study on Cancer Treatment,Completed,Lung Cancer,Drug: Chemotherapy,All,OLDER_ADULT,Phase 3,Interventional,USA
NCT00000002,Diabetes Drug Trial,Recruiting,Diabetes Mellitus,Drug: Insulin,All,CHILD,Phase 1,Interventional,Canada
NCT00000002,Diabetes Drug Trial,Recruiting,Diabetes Mellitus,Drug: Insulin,All,ADULT,Phase 1,Interventional,Canada
