id,symbol,name,current_price,market_cap,total_volume,last_updated
bitcoin,btc,Bitcoin,104081.0,2067009320350.0,29807200137.0,2025-05-14T12:44:42.839Z
ethereum,eth,Ethereum,2623.1,316861900987.0,37667036143.0,2025-05-14T12:44:43.224Z
ripple,xrp,XRP,2.62,153384098788.0,5627679556.0,2025-05-14T12:44:43.317Z
tether,usdt,Tether,0.999954,150330745586.0,77297379532.0,2025-05-14T12:44:45.866Z
binancecoin,bnb,BNB,656.66,95800585425.0,1350902192.0,2025-05-14T12:44:42.269Z
solana,sol,Solana,181.2,94149049422.0,7048635479.0,2025-05-14T12:44:41.864Z
usd-coin,usdc,USDC,0.999953,60667146025.0,12627542823.0,2025-05-14T12:44:43.596Z
dogecoin,doge,Dogecoin,0.237557,35450349053.0,3065536448.0,2025-05-14T12:44:31.730Z
cardano,ada,Cardano,0.825789,29727232970.0,1170585131.0,2025-05-14T12:44:42.937Z
tron,trx,TRON,0.2751,26107165497.0,1133870513.0,2025-05-14T12:44:41.554Z
