id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
bitcoin,btc,Bitcoin,103550.0,2056782691737,1,21543208032,103938.0,102526.0,0.37888000000000005,2025-05-10T15:01:56.675Z
ethereum,eth,Ethereum,2435.36,294205673016,2,23321024027,2438.41,2288.24,5.6068,2025-05-10T15:01:53.005Z
tether,usdt,Tether,1.0,149750795000,3,50820757832,1.0,0.999914,0.01024,2025-05-10T15:01:54.311Z
ripple,xrp,XRP,2.41,141013040515,4,3767267001,2.42,2.33,2.39419,2025-05-10T15:01:52.890Z
binancecoin,bnb,BNB,651.88,95092438278,5,1703258207,674.3,632.1,2.82149,2025-05-10T15:01:53.140Z
solana,sol,Solana,171.48,89005989905,6,4848415680,174.51,169.15,1.3796,2025-05-10T15:01:52.484Z
usd-coin,usdc,USDC,0.9999969999999999,60760632346,7,5935310264,1.0,0.9999,0.00237,2025-05-10T15:01:51.781Z
dogecoin,doge,Dogecoin,0.227744,33939303710,8,2654481892,0.22949699999999998,0.201851,11.98761,2025-05-10T15:01:52.712Z
cardano,ada,Cardano,0.807784,29122808083,9,1121268143,0.8106559999999999,0.7735329999999999,3.52433,2025-05-10T15:01:52.327Z
tron,trx,TRON,0.25987699999999997,24669411777,10,1191037814,0.26476099999999997,0.25937099999999996,-0.8849400000000001,2025-05-10T15:01:52.888Z
