IndicatorCode,SpatialDim,ParentLocation,TimeDim,NumericValue,Low,High,Dim1
WHOSIS_000001,PER,Americas,2021,74.80745,74.32039,75.31423,SEX_FMLE
WHOSIS_000001,TUR,Europe,2000,77.12943,76.75604,77.60252,SEX_FMLE
WHOSIS_000001,URY,Americas,2014,80.91835,80.8788,81.0132,SEX_FMLE
WHOSIS_000001,PAN,Americas,2003,79.33217,79.11205,79.60484,SEX_FMLE
WHOSIS_000001,ISR,Europe,2013,83.60382,83.59579,83.68464,SEX_FMLE
WHOSIS_000001,DOM,Americas,2006,70.27303,69.45092,71.20779,SEX_MLE
WHOSIS_000001,MKD,Europe,2018,78.49076,78.37465,78.68641,SEX_FMLE
WHOSIS_000001,TLS,South-East Asia,2021,66.52958,65.5545,67.69879,SEX_MLE
WHOSIS_000001,GUY,Americas,2013,63.06122,62.59073,63.68916,SEX_MLE
WHOSIS_000001,UZB,Europe,2002,64.87586,64.48025,65.24482,SEX_FMLE
WHOSIS_000001,GTM,Americas,2005,72.72024,72.48108,73.05236,SEX_FMLE
WHOSIS_000001,GRC,Europe,2016,78.52796,78.51097,78.61777,SEX_MLE
WHOSIS_000001,BHS,Americas,2008,69.51301,69.24651,69.84647,SEX_MLE
WHOSIS_000001,MAR,Eastern Mediterranean,2008,71.88491,71.17183,72.55793,SEX_BTSX
WHOSIS_000001,NAM,Africa,2017,59.09812,58.17294,59.99808,SEX_MLE
WHOSIS_000001,PSE,Eastern Mediterranean,2019,77.59649,77.21603,77.97057,SEX_FMLE
WHOSIS_000001,POL,Europe,2014,81.29088,81.2842,81.37014,SEX_FMLE
WHOSIS_000001,IND,South-East Asia,2016,68.36024,67.94964,68.75073,SEX_MLE
WHOSIS_000001,POL,Europe,2007,70.87905,70.87144,70.9428,SEX_MLE
WHOSIS_000001,JOR,Eastern Mediterranean,2000,72.72227,72.14746,73.24611,SEX_BTSX
WHOSIS_000001,LUX,Europe,2018,84.6865,,,SEX_FMLE
WHOSIS_000001,IDN,South-East Asia,2004,66.25107,65.81014,66.75969,SEX_BTSX
WHOSIS_000001,KGZ,Europe,2020,71.47082,71.12113,71.95873,SEX_BTSX
WHOSIS_000001,URY,Americas,2000,74.87862,74.79812,75.01953,SEX_BTSX
WHOSIS_000001,NER,Africa,2001,51.30905,50.45912,52.2866,SEX_FMLE
WHOSIS_000001,LBN,Eastern Mediterranean,2005,75.41744,75.00977,75.85128,SEX_MLE
WHOSIS_000001,MKD,Europe,2007,75.77011,75.67767,75.94656,SEX_FMLE
WHOSIS_000001,ARM,Europe,2014,78.10727,77.92557,78.32262,SEX_FMLE
WHOSIS_000001,WB_UMI,,2016,74.97658,74.61884,75.39221,SEX_BTSX
WHOSIS_000001,PRI,Americas,2012,82.91461,82.81617,83.08518,SEX_FMLE
