Name,IndicatorCode,IndicatorName,Language
Yth_nonsmoked_svy_yr,Yth_nonsmoked_svy_yr,Year of latest youth prevalence survey (nonsmoked),EN
Yth_nonsmoked_svy_title,Yth_nonsmoked_svy_title,Name of latest youth prevalence survey (nonsmoked),EN
Yth_nonsmoked_national,Yth_nonsmoked_national,Representation of latest youth prevalence survey (nonsmoked),EN
Yth_nonsmoked_age_grp,Yth_nonsmoked_age_grp,Age range of latest youth prevalence survey (nonsmoked),EN
Yth_daily_tob_use,Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),EN
Yth_daily_tob_smoking,Yth_daily_tob_smoking,Prevalence of daily tobacco smoking among adolescents (%),EN
Yth_daily_smokeless,Yth_daily_smokeless,Prevalence of daily smokeless tobacco use among adolescents (%),EN
Yth_daily_e-cig,Yth_daily_e-cig,Prevalence of daily e-cigarette use among adolescents (%),EN
Yth_daily_cig_smoking,Yth_daily_cig_smoking,Prevalence of daily cigarette smoking among adolescents (%),EN
Yth_curr_tob_use,Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),EN
Yth_curr_tob_smoking,Yth_curr_tob_smoking,Prevalence of current tobacco smoking among adolescents (%),EN
Yth_curr_smokeless,Yth_curr_smokeless,Prevalence of current smokeless tobacco use among adolescents (%),EN
Yth_curr_e-cig,Yth_curr_e-cig,Prevalence of current e-cigarette use among adolescents (%),EN
Yth_curr_cig_smoking,Yth_curr_cig_smoking,Prevalence of current cigarette smoking among adolescents (%),EN
Youth_svy_yr,Youth_svy_yr,Year of most recent adolescent survey,EN
Youth_svy_national,Youth_svy_national,Representativeness of most recent adolescent survey,EN
Youth_svy_age_range,Youth_svy_age_range,Age range of most recent adolescent survey,EN
Youth_survey_title,Youth_survey_title,Title of most recent adolescent survey,EN
WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),EN
WSH_WATER_BASIC,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),EN
WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),EN
WSH_SANITATION_OD,WSH_SANITATION_OD,Population practising open defecation (%),EN
WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),EN
WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),EN
WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_DOMESTIC_WASTE_SAFELY_TREATED,SDG 6.3.1 Proportion of safely treated domestic wastewater flows (%),EN
WSH_8,WSH_8,"Water, sanitation and hygiene  attributable DALYs per 100'000 children under 5 years",EN
WSH_7,WSH_7,"Water, sanitation and hygiene attributable DALYs per 100'000 capita",EN
WSH_6,WSH_6,"Water, sanitation and hygiene attributable DALYs ('000) in children under 5 years",EN
WSH_5,WSH_5,"Water, sanitation and hygiene attributable DALYs ('000)",EN
WSH_4,WSH_4,"Water, sanitation and hygiene  attributable deaths per 100'000 children under 5 years",EN
WSH_30_WAT,WSH_30_WAT,Number of diarrhoea DALYs from inadequate water,EN
WSH_30_SAN,WSH_30_SAN,Number of diarrhoea DALYs from inadequate sanitation,EN
WSH_30_HYG,WSH_30_HYG,Number of diarrhoea DALYs from inadequate hygiene,EN
WSH_30,WSH_30,"Number of diarrhoea DALYs from inadequate water, sanitation and hygiene",EN
WSH_3,WSH_3,"Water, sanitation and hygiene attributable deaths per 100'000 capita",EN
WSH_20_WAT,WSH_20_WAT,Attributable fraction of diarrhoea to inadequate water,EN
WSH_20_SAN,WSH_20_SAN,Attributable fraction of diarrhoea to inadequate sanitation,EN
WSH_20_HYG,WSH_20_HYG,Attributable fraction of diarrhoea to inadequate hygiene,EN
WSH_20,WSH_20,"Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene",EN
WSH_2,WSH_2,"Water, sanitation and hygiene attributable deaths ('000) in children under 5 years",EN
WSH_10_WAT,WSH_10_WAT,Number of diarrhoea deaths from inadequate water,EN
WSH_10_SAN,WSH_10_SAN,Number of diarrhoea deaths from inadequate sanitation,EN
WSH_10_HYG,WSH_10_HYG,Number of diarrhoea deaths from inadequate hygiene,EN
WSH_10,WSH_10,"Number of diarrhoea deaths from inadequate water, sanitation and hygiene",EN
WSH_1,WSH_1,SDG 3.9.2 WASH deaths,EN
W-MM_Group,W-MM_Group,Anti-tobacco mass media campaigns,EN
WHS9_CS,WHS9_CS,Cellular subscribers (per 100 population),EN
WHS9_96,WHS9_96,Population living in urban areas (%),EN
WHS9_95,WHS9_95,Total fertility rate (per woman),EN
WHS9_94,WHS9_94,Civil registration coverage of causes of deaths (%),EN
WHS9_93,WHS9_93,Gross national income per capita (PPP int. $),EN
WHS9_92,WHS9_92,Population proportion over 60 (%),EN
WHS9_91,WHS9_91,Civil registration coverage of births (%),EN
WHS9_90,WHS9_90,Population living on <$1 (PPP int. $) a day (%),EN
WHS9_89,WHS9_89,Population proportion under 15 (%),EN
WHS9_88,WHS9_88,Population median age (years),EN
WHS9_87,WHS9_87,Net primary school enrolment ratio (%),EN
WHS9_86,WHS9_86,Population (in thousands) total,EN
WHS9_85,WHS9_85,Literacy rate among adults aged >= 15 years (%),EN
WHS8_110,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),EN
WHS7_156,WHS7_156,Per capita total expenditure on health at average exchange rate (US$),EN
WHS7_150,WHS7_150,Out-of-pocket expenditure as a percentage of total expenditure on health,EN
WHS7_149,WHS7_149,General government expenditure on health as a percentage of total expenditure on health,EN
WHS7_147,WHS7_147,Private expenditure on health as a percentage of total expenditure on health,EN
WHS7_143,WHS7_143,Total expenditure on health as a percentage of gross domestic product,EN
WHS7_139,WHS7_139,Out-of-pocket expenditure as a percentage of private expenditure on health,EN
WHS7_134,WHS7_134,Social security expenditure on health as a percentage of general government expenditure on health,EN
WHS7_120,WHS7_120,External resources for health as a percentage of total expenditure on health,EN
WHS7_113,WHS7_113,General government expenditure on health as a percentage of total government expenditure,EN
WHS7_108,WHS7_108,Per capita government expenditure on health (PPP int. $),EN
WHS7_105,WHS7_105,Per capita total expenditure on health (PPP int. $),EN
WHS7_104,WHS7_104,Per capita government expenditure on health at average exchange rate (US$),EN
WHS7_103,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,EN
WHS6_520,WHS6_520,Density of environment and public health workers (per 10 000 population),EN
WHS6_519,WHS6_519,Density of pharmaceutical personnel (per 10 000 population),EN
WHS6_518,WHS6_518,Number of environment and public health workers,EN
WHS6_517,WHS6_517,Number of pharmaceutical personnel,EN
WHS6_150,WHS6_150,Community health workers density (per 10 000 population),EN
WHS6_148,WHS6_148,Nursing and midwifery personnel density (per 10 000 population),EN
WHS6_144,WHS6_144,Dentistry personnel density (per 10 000 population),EN
WHS6_140,WHS6_140,Number of community health workers,EN
WHS6_127,WHS6_127,Number of nursing and midwifery personnel,EN
WHS6_123,WHS6_123,Number of dentistry personnel,EN
WHS6_116,WHS6_116,Median consumer price ratio of selected generic medicines - Private,EN
WHS6_102,WHS6_102,Hospital beds (per 10 000 population),EN
WHS6_101,WHS6_101,Median availability of selected generic medicines (%) - Private,EN
WHS6_100,WHS6_100,Radiotherapy units (per 1 000 000 population),EN
WHS5_512,WHS5_512,Population using solid fuels (%),EN
WHS4_99,WHS4_99,Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%),EN
WHS4_544,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),EN
WHS4_543,WHS4_543,BCG immunization coverage among 1-year-olds (%),EN
WHS4_154,WHS4_154,Antenatal care coverage - at least four visits (%),EN
WHS4_129,WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),EN
WHS4_128,WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),EN
WHS4_124,WHS4_124,Children aged 6-59 months who received vitamin A supplementation (%),EN
WHS4_117,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),EN
WHS4_115,WHS4_115,Births by caesarean section (%),EN
WHS4_111_AGE1519,WHS4_111_AGE1519,"Antenatal care coverage - at least one visit, among girls aged 15-19 (%)",EN
WHS4_111,WHS4_111,Antenatal care coverage - at least one visit (%),EN
WHS4_108,WHS4_108,Children aged <5 years with ARI symptoms who took antibiotic treatment (%),EN
WHS4_107,WHS4_107,Children aged <5 years with diarrhoea receiving ORT (%),EN
WHS4_106,WHS4_106,Care-seeking for children with symptoms of acute respiratory infection (%),EN
WHS4_100,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),EN
WHS3_62,WHS3_62,Measles - number of reported cases,EN
WHS3_57,WHS3_57,Rubella - number of reported cases,EN
WHS3_56,WHS3_56,Neonatal tetanus - number of reported cases,EN
WHS3_55,WHS3_55,Congenital Rubella Syndrome - number of reported cases,EN
WHS3_54,WHS3_54,Number of reported cases of tuberculosis (DOTS),EN
WHS3_53,WHS3_53,Mumps - number of reported cases,EN
WHS3_522,WHS3_522,Number of reported cases of tuberculosis,EN
WHS3_52,WHS3_52,Plague - number of reported cases,EN
WHS3_51,WHS3_51,H5N1 influenza - number of reported cases,EN
WHS3_50,WHS3_50,Yellow fever - number of reported cases,EN
WHS3_49,WHS3_49,Poliomyelitis - number of reported cases,EN
WHS3_48,WHS3_48,Malaria - number of reported confirmed cases,EN
WHS3_47,WHS3_47,Meningitis - number of reported cases,EN
WHS3_46,WHS3_46,Total tetanus - number of reported cases,EN
WHS3_45,WHS3_45,Number of new leprosy cases,EN
WHS3_43,WHS3_43,Pertussis - number of reported cases,EN
WHS3_42,WHS3_42,Japanese encephalitis - number of reported cases,EN
WHS3_41,WHS3_41,Diphtheria - number of reported cases,EN
WHS3_40,WHS3_40,Cholera - number of reported cases,EN
WHS2_523,WHS2_523,Distribution of causes of death among children aged <5 years (%) - Birth asphyxia,EN
WHS2_516,WHS2_516,Distribution of causes of death among children aged <5 years (%) - Congenital anomalies,EN
WHS2_515,WHS2_515,Distribution of causes of death among children aged <5 years (%) - Neonatal sepsis,EN
WHS2_514,WHS2_514,Distribution of causes of death among children aged <5 years (%) - Prematurity,EN
WHS2_174,WHS2_174,Distribution of years of life lost by broader causes (%) - Injuries,EN
WHS2_171,WHS2_171,Distribution of causes of death among children aged <5 years (%) - Other diseases,EN
WHS2_170,WHS2_170,Distribution of causes of death among children aged <5 years (%) - HIV/AIDS,EN
WHS2_168,WHS2_168,Distribution of causes of death among children aged <5 years (%) - Measles,EN
WHS2_167,WHS2_167,Distribution of causes of death among children aged <5 years (%) - Diarrhoea,EN
WHS2_166,WHS2_166,Distribution of causes of death among children aged <5 years (%) - Injuries,EN
WHS2_165,WHS2_165,Distribution of causes of death among children aged <5 years (%) - Pneumonia,EN
WHS2_164,WHS2_164,Distribution of causes of death among children aged <5 years (%) - Malaria,EN
WHS2_161,WHS2_161,Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular,EN
WHS2_160,WHS2_160,Age-standardized mortality rate by cause (per 100 000 population) - Cancer,EN
WHS2_152,WHS2_152,Deaths due to malaria (per 100 000 population),EN
WHS2_138,WHS2_138,Deaths due to HIV/AIDS (per 100 000 population),EN
WHS2_131,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),EN
WHS2_126,WHS2_126,Distribution of years of life lost by major cause group,EN
WHS10_9,WHS10_9,Ill-defined causes in cause-of-death registration (%),EN
WHS10_8,WHS10_8,Civil registration coverage of cause-of-death (%),EN
WHS10_7,WHS10_7,Number of national population surveys -  adult health,EN
WHS10_6,WHS10_6,Number of national population surveys -  HIV prevalence,EN
WHS10_5,WHS10_5,Number of national population surveys - maternal mortality,EN
WHS10_4,WHS10_4,Number of national population surveys - child mortality,EN
WHS10_3,WHS10_3,Number of national population surveys - child anthropometry,EN
WHS10_2,WHS10_2,Number of cause-of-death registration years available,EN
WHS10_10,WHS10_10,International Statistical Classification of Diseases and Related Health Problems (ICD),EN
WHS10_1,WHS10_1,Most recent census (year),EN
WHS_PBR,WHS_PBR,Preterm birth rate (per 100 live births),EN
WHOSIS_000016,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),EN
WHOSIS_000015,WHOSIS_000015,Life expectancy at age 60 (years),EN
WHOSIS_000014,WHOSIS_000014,Stillbirth rate (per 1000 total births),EN
WHOSIS_000013,WHOSIS_000013,Prevalence of current tobacco use among adolescents (13-15 years) (%),EN
WHOSIS_000012,WHOSIS_000012,Prevalence of smoking any tobacco product among adults (&#8805;15 years) (%),EN
WHOSIS_000010,WHOSIS_000010,Adults aged &#8805; 20 years who are obese (%),EN
WHOSIS_000009,WHOSIS_000009,Children aged <5 years overweight (%),EN
WHOSIS_000008,WHOSIS_000008,Children aged <5 years underweight (%),EN
WHOSIS_000007,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),EN
WHOSIS_000006,WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),EN
WHOSIS_000005,WHOSIS_000005,Low-birth-weight newborns (%),EN
WHOSIS_000004,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),EN
WHOSIS_000003,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),EN
WHOSIS_000002,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),EN
WHOSIS_000001,WHOSIS_000001,Life expectancy at birth (years),EN
WHO_LOCATIONFACILITIES_GROUPED_PER100,WHO_LOCATIONFACILITIES_GROUPED_PER100,Locations and facilities by groups (%),EN
WHO_LOCATIONFACILITIES,WHO_LOCATIONFACILITIES,Locations and facilities,EN
